player,map,latency,input_type,frequency,timestamp
Player_138.25.249.81,aggressor,0,mouse_clicks,11,2024-09-05 11:56:54
Player_138.25.249.81,aggressor,0,mouse_clicks,11,2024-09-05 11:56:54
Player_138.25.249.81,aggressor,0,mouse_clicks,2,2024-09-05 11:57:05
Player_138.25.249.81,aggressor,0,mouse_clicks,16,2024-09-05 11:57:29
Player_138.25.249.81,aggressor,0,mouse_clicks,9,2024-09-05 11:57:39
Player_138.25.249.81,aggressor,0,mouse_clicks,9,2024-09-05 11:58:21
Player_138.25.249.81,aggressor,0,mouse_clicks,12,2024-09-05 11:58:30
Player_138.25.249.81,aggressor,0,mouse_clicks,2,2024-09-05 11:59:14
Player_138.25.249.81,aggressor,0,mouse_clicks,2,2024-09-05 11:59:15
Player_138.25.249.81,aggressor,0,mouse_clicks,3,2024-09-05 11:59:24
Player_138.25.249.81,aggressor,0,mouse_clicks,8,2024-09-05 11:59:28
Player_138.25.249.81,aggressor,0,mouse_clicks,10,2024-09-05 11:59:33
Player_138.25.249.81,aggressor,0,mouse_clicks,5,2024-09-05 11:59:40
Player_138.25.249.81,aggressor,0,mouse_clicks,1,2024-09-05 11:59:52
Player_138.25.249.81,aggressor,0,mouse_clicks,7,2024-09-05 11:59:56
Player_138.25.249.81,aggressor,0,mouse_clicks,7,2024-09-05 12:00:41
Player_138.25.249.81,aggressor,0,mouse_clicks,3,2024-09-05 12:00:48
Player_138.25.249.81,aggressor,0,mouse_clicks,9,2024-09-05 12:00:50
Player_138.25.249.81,aggressor,0,mouse_clicks,9,2024-09-05 12:01:03
Player_138.25.249.81,aggressor,0,mouse_clicks,3,2024-09-05 12:01:14
Player_138.25.249.81,aggressor,0,mouse_clicks,2,2024-09-05 12:01:19
Player_138.25.249.81,aggressor,0,mouse_clicks,2,2024-09-05 12:01:34
Player_138.25.249.81,aggressor,0,SPACE,1,2024-09-05 11:56:54
Player_138.25.249.81,aggressor,0,SPACE,1,2024-09-05 11:56:54
Player_138.25.249.81,aggressor,0,SPACE,1,2024-09-05 11:57:05
Player_138.25.249.81,aggressor,0,SPACE,2,2024-09-05 11:57:29
Player_138.25.249.81,aggressor,0,SPACE,0,2024-09-05 11:57:39
Player_138.25.249.81,aggressor,0,SPACE,0,2024-09-05 11:58:21
Player_138.25.249.81,aggressor,0,SPACE,2,2024-09-05 11:58:30
Player_138.25.249.81,aggressor,0,SPACE,0,2024-09-05 11:59:14
Player_138.25.249.81,aggressor,0,SPACE,0,2024-09-05 11:59:15
Player_138.25.249.81,aggressor,0,SPACE,2,2024-09-05 11:59:24
Player_138.25.249.81,aggressor,0,SPACE,4,2024-09-05 11:59:28
Player_138.25.249.81,aggressor,0,SPACE,3,2024-09-05 11:59:33
Player_138.25.249.81,aggressor,0,SPACE,0,2024-09-05 11:59:40
Player_138.25.249.81,aggressor,0,SPACE,0,2024-09-05 11:59:52
Player_138.25.249.81,aggressor,0,SPACE,0,2024-09-05 11:59:56
Player_138.25.249.81,aggressor,0,SPACE,0,2024-09-05 12:00:41
Player_138.25.249.81,aggressor,0,SPACE,0,2024-09-05 12:00:48
Player_138.25.249.81,aggressor,0,SPACE,1,2024-09-05 12:00:50
