timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94,killed_by_world,killed_world
2024-09-05 11:56:54,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,0,1,0,0,1,0,0,1,0,0,0,0
2024-09-05 11:56:54,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.81,Player_138.25.249.81,1,1,0,0,1,1,0,1,0,0,0,0
2024-09-05 11:57:05,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,1,1,0,1,1,1,0,1,0,0,0,0
2024-09-05 11:57:11,1,aggressor,0,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,2,0,0,1,0,0,1,1,0,0,0
2024-09-05 11:57:21,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,0,1,1,0,0,0,0,0,0,1,0,0
2024-09-05 11:57:29,1,aggressor,0,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,3,0,0,1,0,0,2,2,0,0,0
2024-09-05 11:57:29,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,1,2,0,2,2,1,0,1,0,0,0,0
2024-09-05 11:57:39,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,1,3,0,3,3,1,0,1,0,0,0,0
2024-09-05 11:57:45,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,2,1,0,1,1,0,0,0,1,0,0
2024-09-05 11:57:48,1,aggressor,0,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,4,0,1,3,0,1,0,0,0,0,0
2024-09-05 11:58:06,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,3,2,0,1,2,0,0,0,1,0,0
2024-09-05 11:58:06,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.38,Player_138.25.249.38,1,5,1,1,3,2,1,0,0,1,0,0
2024-09-05 11:58:13,1,aggressor,0,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,2,1,1,0,0,1,0,0,1,0,0
2024-09-05 11:58:21,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,1,4,0,3,2,1,0,2,2,0,0,0
2024-09-05 11:58:30,1,aggressor,0,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,4,2,1,1,1,1,0,0,1,0,0
2024-09-05 11:58:30,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,1,5,0,3,3,1,0,3,2,0,0,0
2024-09-05 11:58:42,1,aggressor,0,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,5,2,0,1,1,1,2,1,0,0,0
2024-09-05 11:58:46,1,aggressor,0,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,6,0,0,3,1,0,3,3,0,0,0
2024-09-05 11:59:03,1,aggressor,0,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,6,1,2,3,1,2,0,0,1,0,0
2024-09-05 11:59:07,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,1,3,2,1,0,2,1,0,0,2,0,0
2024-09-05 11:59:14,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,1,7,0,3,4,1,0,4,3,0,0,0
2024-09-05 11:59:15,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,1,7,1,4,4,1,2,4,0,0,0,0
2024-09-05 11:59:24,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,1,8,0,4,5,1,0,5,3,0,0,0
2024-09-05 11:59:28,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,1,8,1,5,5,1,2,5,0,0,0,0
2024-09-05 11:59:33,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,1,9,0,5,6,1,0,6,3,0,0,0
2024-09-05 11:59:37,1,aggressor,0,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,4,2,2,0,1,2,0,0,2,0,0
2024-09-05 11:59:38,1,aggressor,0,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,9,1,3,5,1,3,0,0,2,0,0
2024-09-05 11:59:40,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,1,10,0,5,7,1,0,7,3,0,0,0
2024-09-05 11:59:44,1,aggressor,0,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,6,2,3,1,2,2,0,1,2,0,0
2024-09-05 11:59:51,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,1,5,3,1,0,2,2,0,0,3,0,0
2024-09-05 11:59:52,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,1,11,0,5,8,1,0,8,3,0,0,0
2024-09-05 11:59:56,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.94,Player_138.25.249.81,1,6,3,5,1,1,2,8,0,1,0,0
2024-09-05 12:00:00,1,aggressor,0,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,12,0,0,8,1,0,4,4,0,0,0
2024-09-05 12:00:01,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,1,7,3,1,1,3,2,0,1,3,0,0
2024-09-05 12:00:09,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,1,8,4,1,1,4,2,0,1,3,0,0
2024-09-05 12:00:10,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,1,13,1,1,8,4,0,1,4,3,0,0
2024-09-05 12:00:12,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,1,7,4,1,1,4,2,1,0,4,0,0
2024-09-05 12:00:21,1,aggressor,0,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,10,1,4,5,2,4,0,0,2,0,0
2024-09-05 12:00:25,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,1,8,5,1,1,4,2,1,0,5,0,0
2024-09-05 12:00:26,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,1,9,5,1,1,5,2,1,1,5,0,0
2024-09-05 12:00:41,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.94,Player_138.25.249.81,1,9,5,5,2,1,2,8,0,2,0,0
2024-09-05 12:00:42,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,1,14,2,1,8,5,0,2,4,5,0,0
2024-09-05 12:00:48,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,1,15,2,5,9,1,0,9,4,2,0,0
2024-09-05 12:00:49,1,aggressor,0,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,10,5,0,1,2,2,4,2,0,0,0
2024-09-05 12:00:50,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,1,11,1,6,6,1,4,9,0,2,0,0
2024-09-05 12:00:58,1,aggressor,0,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,10,5,4,2,2,3,0,0,3,0,0
2024-09-05 12:00:59,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,1,16,3,1,9,5,0,3,4,5,0,0
2024-09-05 12:01:01,1,aggressor,0,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,11,5,0,1,3,2,4,3,0,0,0
2024-09-05 12:01:03,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,1,12,1,7,7,1,4,9,0,2,0,0
2024-09-05 12:01:05,1,aggressor,0,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,11,5,4,2,2,4,0,0,4,0,0
2024-09-05 12:01:10,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,1,17,4,1,9,5,0,4,4,5,0,0
2024-09-05 12:01:14,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,1,18,4,7,10,1,0,10,4,2,0,0
2024-09-05 12:01:19,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,1,13,1,8,8,1,4,10,0,2,0,0
2024-09-05 12:01:21,1,aggressor,0,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,12,5,0,1,4,2,4,4,0,0,0
2024-09-05 12:01:23,1,aggressor,0,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,12,5,4,2,2,5,0,0,5,0,0
2024-09-05 12:01:27,1,aggressor,0,Player_138.25.249.93,Player_138.25.249.93,Player_138.25.249.93,1,19,4,4,10,2,1,1,4,5,0,0
2024-09-05 12:01:34,1,aggressor,0,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,1,20,4,8,11,1,1,11,4,2,0,0
2024-09-05 12:01:37,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,1,13,6,1,2,5,5,4,0,6,0,0
