timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94,killed_by_world,killed_world
2024-09-05 11:57:21,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,0,1,1,0,0,0,0,0,0,1,0,0
2024-09-05 11:57:45,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,2,1,0,1,1,0,0,0,1,0,0
2024-09-05 11:58:06,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,3,2,0,1,2,0,0,0,1,0,0
2024-09-05 11:58:06,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.38,Player_138.25.249.38,1,5,1,1,3,2,1,0,0,1,0,0
2024-09-05 11:59:07,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,1,3,2,1,0,2,1,0,0,2,0,0
2024-09-05 11:59:51,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,1,5,3,1,0,2,2,0,0,3,0,0
2024-09-05 12:00:01,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,1,7,3,1,1,3,2,0,1,3,0,0
2024-09-05 12:00:09,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,1,8,4,1,1,4,2,0,1,3,0,0
2024-09-05 12:00:10,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,1,13,1,1,8,4,0,1,4,3,0,0
2024-09-05 12:00:12,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,1,7,4,1,1,4,2,1,0,4,0,0
2024-09-05 12:00:25,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,1,8,5,1,1,4,2,1,0,5,0,0
2024-09-05 12:00:26,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,1,9,5,1,1,5,2,1,1,5,0,0
2024-09-05 12:00:42,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,1,14,2,1,8,5,0,2,4,5,0,0
2024-09-05 12:00:59,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,1,16,3,1,9,5,0,3,4,5,0,0
2024-09-05 12:01:10,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,1,17,4,1,9,5,0,4,4,5,0,0
2024-09-05 12:01:37,1,aggressor,0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,1,13,6,1,2,5,5,4,0,6,0,0
