timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94,killed_by_world,killed_world
2024-09-05 12:07:34,3,aggressor,200,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,1,0,0,0,0,0,1,1,0,0,0
2024-09-05 12:07:38,3,aggressor,200,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,1,0,0,0,1,0,1,1,0,0,0
2024-09-05 12:08:03,3,aggressor,200,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,2,0,0,0,1,0,2,2,0,0,0
2024-09-05 12:08:13,3,aggressor,200,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,3,0,0,0,1,0,3,3,0,0,0
2024-09-05 12:09:30,3,aggressor,200,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,4,1,0,0,2,1,3,2,0,0,0
2024-09-05 12:09:46,3,aggressor,200,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,5,1,0,0,3,1,3,3,0,0,0
2024-09-05 12:10:30,3,aggressor,200,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,4,0,0,0,3,0,4,4,0,0,0
2024-09-05 12:10:43,3,aggressor,200,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,8,2,0,0,4,2,4,4,0,0,0
2024-09-05 12:11:31,3,aggressor,200,Player_138.25.249.94,Player_138.25.249.38,Player_138.25.249.94,0,10,1,1,5,4,3,4,1,0,0,0
