timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94,killed_by_world,killed_world
2024-09-05 12:34:08,8,wrackdm17,50,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,0,1,0,1,1,0,0,0,0,0,0,0
2024-09-05 12:34:45,8,wrackdm17,50,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,0,3,0,2,2,0,0,0,0,0,1,0
2024-09-05 12:35:00,8,wrackdm17,50,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,0,4,0,3,3,0,0,0,0,0,1,0
2024-09-05 12:35:39,8,wrackdm17,50,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,0,5,0,4,4,0,0,0,0,0,1,0
2024-09-05 12:36:11,8,wrackdm17,50,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,0,6,0,5,5,0,0,0,0,0,1,0
2024-09-05 12:36:46,8,wrackdm17,50,Player_138.25.249.81,Player_138.25.249.94,Player_138.25.249.81,0,4,2,5,1,0,1,0,0,1,0,0
2024-09-05 12:37:58,8,wrackdm17,50,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,0,6,1,5,1,0,0,1,1,1,3,0
