timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94,killed_by_world,killed_world
2024-09-05 12:33:57,8,wrackdm17,50,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,0,1,1,0,0,0,0,0,0,1,0,0
2024-09-05 12:34:16,8,wrackdm17,50,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,1,1,0,0,1,0,0,0,1,0,0
2024-09-05 12:34:25,8,wrackdm17,50,world,Player_138.25.249.38,Player_138.25.249.38,0,2,0,1,1,1,0,0,0,1,1,0
2024-09-05 12:35:26,8,wrackdm17,50,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,5,2,1,0,2,3,0,0,1,0,0
2024-09-05 12:35:44,8,wrackdm17,50,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,0,3,2,1,0,2,1,0,0,2,0,0
2024-09-05 12:36:31,8,wrackdm17,50,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,7,3,1,0,3,4,0,0,2,0,0
2024-09-05 12:37:06,8,wrackdm17,50,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,8,4,1,0,4,4,0,0,2,0,0
2024-09-05 12:37:24,8,wrackdm17,50,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,0,5,1,1,0,4,0,1,1,2,3,0
2024-09-05 12:37:38,8,wrackdm17,50,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,10,5,1,0,5,4,1,1,2,0,0
2024-09-05 12:38:31,8,wrackdm17,50,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,12,6,1,0,6,5,1,1,2,0,0
