timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94,killed_by_world,killed_world
2024-09-05 12:28:36,7,aggressor,50,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,1,0,0,0,1,0,0,1,0,0,0
2024-09-05 12:28:38,7,aggressor,50,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,1,0,0,0,1,0,1,1,0,0,0
2024-09-05 12:29:07,7,aggressor,50,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,3,0,0,0,2,1,1,2,0,0,0
2024-09-05 12:29:27,7,aggressor,50,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,2,0,0,0,2,0,2,2,0,0,0
2024-09-05 12:30:12,7,aggressor,50,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,9,1,0,1,3,4,2,3,0,0,0
2024-09-05 12:30:15,7,aggressor,50,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,4,1,0,0,3,0,3,3,0,0,0
2024-09-05 12:30:16,7,aggressor,50,Player_138.25.249.94,Player_138.25.249.38,Player_138.25.249.94,0,6,0,1,1,3,4,3,1,0,0,0
2024-09-05 12:30:57,7,aggressor,50,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,8,3,1,1,3,0,4,4,0,0,0
2024-09-05 12:32:48,7,aggressor,50,Player_138.25.249.94,Player_138.25.249.38,Player_138.25.249.94,0,13,0,2,5,3,6,4,2,0,0,0
2024-09-05 12:32:51,7,aggressor,50,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,10,3,2,2,3,0,5,5,0,0,0
2024-09-05 12:32:53,7,aggressor,50,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,16,4,2,3,4,5,5,4,0,0,0
