timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94,killed_by_world,killed_world
2024-09-05 12:39:08,9,aggressor,150,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,0,1,1,0,0,0,0,1,0,0,0,0
2024-09-05 12:40:32,9,aggressor,150,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,0,5,2,0,2,0,0,2,1,0,0,0
2024-09-05 12:41:06,9,aggressor,150,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,7,1,0,0,1,3,2,3,0,0,0
2024-09-05 12:41:46,9,aggressor,150,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,0,8,3,0,2,1,0,3,3,0,0,0
2024-09-05 12:43:16,9,aggressor,150,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,14,2,0,0,2,8,3,4,0,0,0
