timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94,killed_by_world,killed_world
2024-09-05 12:28:01,7,aggressor,100,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,1,0,1,0,0,1,0,0,0,0,0
2024-09-05 12:28:59,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,2,0,1,0,1,1,0,1,0,0,0
2024-09-05 12:29:14,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,4,0,1,0,2,2,0,2,0,0,0
2024-09-05 12:29:15,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,3,0,2,1,2,2,0,0,0,0,0
2024-09-05 12:29:18,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,1,0,2,0,2,1,0,0,1,0,0
2024-09-05 12:29:24,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,4,0,3,1,2,3,0,0,1,0,0
2024-09-05 12:29:36,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,6,1,3,0,3,3,0,2,1,0,0
2024-09-05 12:30:02,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,8,1,3,1,4,4,0,2,1,0,0
2024-09-05 12:30:06,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,5,0,4,1,4,4,0,0,1,0,0
2024-09-05 12:30:53,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,7,4,4,1,4,2,0,0,2,0,0
2024-09-05 12:30:57,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,11,2,4,1,5,5,0,3,2,0,0
2024-09-05 12:31:53,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,11,0,5,5,5,5,0,1,2,0,0
2024-09-05 12:32:12,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,12,0,6,5,5,6,0,1,2,0,0
2024-09-05 12:32:14,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,12,5,6,4,5,3,0,0,3,0,0
2024-09-05 12:32:44,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,13,5,6,4,5,4,0,0,4,0,0
2024-09-05 12:32:58,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,14,5,6,4,5,5,0,0,5,0,0
2024-09-05 12:33:00,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,17,4,6,3,6,6,0,4,5,0,0
2024-09-05 12:33:12,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,18,4,6,3,7,7,0,4,5,0,0
2024-09-05 12:33:23,7,aggressor,50,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,19,4,6,3,8,8,0,4,5,0,0
