timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94,killed_by_world,killed_world
2024-09-05 12:33:54,8,wrackdm17,50,world,Player_138.25.249.93,Player_138.25.249.93,0,1,0,0,0,0,0,1,0,0,1,0
2024-09-05 12:34:31,8,wrackdm17,50,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,2,1,0,0,1,1,1,0,0,0,0
2024-09-05 12:34:46,8,wrackdm17,50,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,3,1,0,0,2,2,1,0,0,0,0
2024-09-05 12:35:10,8,wrackdm17,50,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,4,1,0,0,3,3,1,0,0,0,0
2024-09-05 12:35:37,8,wrackdm17,50,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,2,1,0,0,3,1,1,0,1,0,0
2024-09-05 12:35:49,8,wrackdm17,50,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,6,2,0,0,4,4,1,0,1,0,0
2024-09-05 12:35:57,8,wrackdm17,50,world,Player_138.25.249.93,Player_138.25.249.93,0,2,0,0,0,4,0,2,0,1,2,0
2024-09-05 12:36:46,8,wrackdm17,50,world,Player_138.25.249.93,Player_138.25.249.93,0,4,0,0,0,4,0,3,1,1,3,0
2024-09-05 12:37:24,8,wrackdm17,50,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,8,0,1,5,4,1,3,1,1,1,0
2024-09-05 12:37:51,8,wrackdm17,50,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,9,0,2,5,4,2,3,1,1,1,0
2024-09-05 12:38:16,8,wrackdm17,50,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,11,5,2,0,5,5,3,1,1,0,0
