timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94,killed_by_world,killed_world
2024-09-05 12:02:24,2,wrackdm17,0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,0,2,1,0,0,0,0,0,0,1,1,0
2024-09-05 12:03:46,2,wrackdm17,0,world,Player_138.25.249.38,Player_138.25.249.38,0,2,0,1,0,0,0,0,1,1,1,0
2024-09-05 12:04:40,2,wrackdm17,0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,0,8,2,1,3,0,0,0,0,2,3,0
2024-09-05 12:04:47,2,wrackdm17,0,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,0,1,1,1,0,0,0,1,0,2,0,0
2024-09-05 12:06:03,2,wrackdm17,0,world,Player_138.25.249.38,Player_138.25.249.38,0,7,0,2,1,0,1,1,3,2,2,0
2024-09-05 12:06:25,2,wrackdm17,0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,5,1,2,0,1,2,1,2,2,0,0
