timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94,killed_by_world,killed_world
2024-09-05 12:12:35,4,wrackdm17,200,Player_138.25.249.94,Player_138.25.249.38,Player_138.25.249.94,0,1,0,1,0,0,0,0,1,0,0,0
2024-09-05 12:12:39,4,wrackdm17,200,Player_138.25.249.94,Player_138.25.249.94,Player_138.25.249.94,1,1,0,1,0,0,0,0,1,1,0,0
2024-09-05 12:16:04,4,wrackdm17,200,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,1,3,1,1,0,1,1,0,1,1,0,0
