timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94,killed_by_world,killed_world
2024-09-05 12:02:18,2,wrackdm17,0,Player_138.25.249.94,Player_138.25.249.38,Player_138.25.249.94,0,1,0,1,0,0,0,0,1,0,0,0
2024-09-05 12:03:28,2,wrackdm17,0,world,Player_138.25.249.94,Player_138.25.249.94,0,5,1,1,2,0,0,0,0,1,2,0
2024-09-05 12:04:15,2,wrackdm17,0,Player_138.25.249.94,Player_138.25.249.38,Player_138.25.249.94,0,3,0,2,0,0,0,0,2,1,1,0
2024-09-05 12:04:31,2,wrackdm17,0,world,Player_138.25.249.94,Player_138.25.249.94,0,7,1,2,3,0,0,0,0,2,3,0
2024-09-05 12:04:47,2,wrackdm17,0,Player_138.25.249.94,Player_138.25.249.38,Player_138.25.249.94,0,4,0,3,0,0,0,0,3,2,1,0
2024-09-05 12:04:50,2,wrackdm17,0,world,Player_138.25.249.94,Player_138.25.249.94,0,9,2,3,3,0,0,0,0,3,4,0
2024-09-05 12:04:57,2,wrackdm17,0,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,1,0,3,0,1,0,0,1,3,0,0
2024-09-05 12:04:57,2,wrackdm17,0,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,2,1,3,0,1,0,1,1,3,0,0
2024-09-05 12:05:49,2,wrackdm17,0,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,4,0,3,0,2,2,1,2,3,0,0
2024-09-05 12:05:58,2,wrackdm17,0,world,Player_138.25.249.94,Player_138.25.249.94,0,11,2,3,4,2,0,1,0,4,5,0
