timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94,killed_by_world,killed_world
2024-09-05 12:44:47,10,wrackdm17,150,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,1,0,0,0,0,1,0,0,1,0,0
2024-09-05 12:45:04,10,wrackdm17,150,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,3,0,1,1,0,1,0,1,1,0,0
2024-09-05 12:45:20,10,wrackdm17,150,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,4,0,2,1,0,2,0,1,1,0,0
2024-09-05 12:45:39,10,wrackdm17,150,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,5,0,3,1,0,3,0,1,1,0,0
2024-09-05 12:46:20,10,wrackdm17,150,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,4,0,3,1,0,2,0,0,2,1,0
2024-09-05 12:47:33,10,wrackdm17,150,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,11,0,4,5,0,4,0,1,2,1,0
2024-09-05 12:48:31,10,wrackdm17,150,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,14,0,5,7,0,5,0,1,2,1,0
2024-09-05 12:48:44,10,wrackdm17,150,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,8,0,5,3,0,3,0,0,3,2,0
2024-09-05 12:49:04,10,wrackdm17,150,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,6,2,5,0,1,1,0,2,3,1,0
2024-09-05 12:49:18,10,wrackdm17,150,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,15,0,6,7,1,6,0,1,3,1,0
2024-09-05 12:49:20,10,wrackdm17,150,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,8,2,6,0,2,2,0,3,3,1,0
2024-09-05 12:49:48,10,wrackdm17,150,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,9,2,6,0,3,3,0,3,3,1,0
2024-09-05 12:50:21,10,wrackdm17,150,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,10,2,6,0,4,4,0,3,3,1,0
2024-09-05 12:50:52,10,wrackdm17,150,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,12,1,6,3,4,4,0,0,4,4,0
2024-09-05 12:51:09,10,wrackdm17,150,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,14,2,6,3,4,5,0,0,5,4,0
