timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94,killed_by_world,killed_world
2024-09-05 12:39:22,9,aggressor,150,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,1,0,0,0,1,1,0,0,0,0,0
2024-09-05 12:39:38,9,aggressor,150,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,3,0,0,2,1,1,0,0,1,0,0
2024-09-05 12:39:42,9,aggressor,150,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,3,0,0,0,2,2,0,1,1,0,0
2024-09-05 12:39:46,9,aggressor,150,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,1,0,1,0,2,1,0,0,1,0,0
2024-09-05 12:40:52,9,aggressor,150,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,6,0,1,0,3,3,0,3,1,0,0
2024-09-05 12:41:26,9,aggressor,150,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,8,1,1,0,4,4,0,3,1,0,0
2024-09-05 12:41:40,9,aggressor,150,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,3,0,2,1,4,2,0,0,1,0,0
2024-09-05 12:41:54,9,aggressor,150,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,7,0,2,5,4,2,0,0,2,0,0
2024-09-05 12:42:19,9,aggressor,150,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,10,1,2,0,5,5,0,4,2,0,0
2024-09-05 12:42:29,9,aggressor,150,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,11,1,2,0,6,6,0,4,2,0,0
2024-09-05 12:42:36,9,aggressor,150,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,9,0,2,6,6,3,0,0,3,0,0
2024-09-05 12:42:36,9,aggressor,150,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,6,0,3,2,6,3,0,1,3,0,0
2024-09-05 12:42:47,9,aggressor,150,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,12,1,3,0,7,7,0,4,3,0,0
2024-09-05 12:43:02,9,aggressor,150,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,13,1,3,0,8,8,0,4,3,0,0
2024-09-05 12:43:19,9,aggressor,150,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,11,0,3,7,8,4,0,0,4,0,0
2024-09-05 12:43:27,9,aggressor,150,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,15,2,3,0,9,9,0,4,4,0,0
