timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94,killed_by_world,killed_world
2024-09-05 12:39:30,9,aggressor,150,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,2,0,0,0,1,1,0,1,0,0,0
2024-09-05 12:39:54,9,aggressor,150,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,2,1,0,0,1,0,1,1,0,0,0
2024-09-05 12:40:14,9,aggressor,150,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,4,0,0,0,2,2,1,2,0,0,0
2024-09-05 12:40:38,9,aggressor,150,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,5,0,0,0,3,2,1,3,0,0,0
2024-09-05 12:41:10,9,aggressor,150,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,6,2,0,2,3,0,2,2,0,0,0
2024-09-05 12:41:19,9,aggressor,150,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,7,2,0,2,3,0,3,3,0,0,0
2024-09-05 12:42:00,9,aggressor,150,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,9,1,0,0,4,4,3,4,0,0,0
2024-09-05 12:42:02,9,aggressor,150,Player_138.25.249.94,Player_138.25.249.38,Player_138.25.249.94,0,4,0,1,1,4,2,3,1,0,0,0
2024-09-05 12:42:54,9,aggressor,150,Player_138.25.249.94,Player_138.25.249.38,Player_138.25.249.94,0,7,0,2,2,4,3,3,2,0,0,0
2024-09-05 12:43:42,9,aggressor,150,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,10,3,2,3,4,0,4,4,0,0,0
